smiles,IE
[CH2]C(=C)C,7.9
C(=Cc1ccccn1)c1ccccc1,8.15
O=C(Br)C(=O)Br,10.49
CCC#CCCCC,9.22
CCCCCCCC1=CCCCC1,8.37
C=C(c1ccccc1)c1ccccn1,8.65
CC=C1CCC1,8.7
C=C1CCCC1,8.55
N#CCc1cccc(Cl)c1,9.48
[O-][n+]1ccc2ccccc2c1,7.9
CSC(C)=O,9.5
BrC12c3ccccc3C(c3ccccc31)c1ccccc12,7.9
CC(=O)CN(C)C,7.71
C1=CC2(C=C1)CCC2,8.2
CC(C)N=NC(C)C,8
CCc1ccc[nH]1,7.97
CCCc1cccs1,8.6
O=c1ccc(=O)c1=O,9.3
IC1CCCC1,9.08
CC(=S)C1CCCCC1=O,7.8
CCC=Cc1ccccc1,8.15
Brc1c2ccccc2cc2ccccc12,7.58
ClC=CCl,9.66
ClC=CCl,9.64
CN(C)CCC(C)(C)C,8.3
OC=CO,9.62
N=C(S)c1ccccc1Cl,8.8
C#Cc1cccc2ccccc12,8.03
C1C2CC12,8.7
C1CC12CC2,9.26
C=CC=CC,8.62
CC(=O)C=Cc1cccc(C)c1,8.6
Cc1ccc2c(ccc3cc(C)ccc32)c1,7.98
BrC1=CC=CC2=C(Br)C=CC=C1C2,7.85
CC[C]=O,5.7
CN(C)Cl,8.75
C=CCc1ccccc1C,7.78
CCC(C)CC=O,9.68
C1CC2CC1C1C3CCC(C3)C21,9
O=C(C(=O)C1CC1)C1CC1,8.8
CCCCc1cccc(C)c1,8.42
CCCCc1ccc(C)cc1,8.35
O=S1CCCC1,8.5
Brc1ccc(N=Nc2ccc(Br)cc2)cc1,9.24
CN(C)P(=O)(Cl)N(C)C,8.61
C=CC(=O)C(C)C,9.39
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,8.6
CN(C)P(N(C)C)N(C)C,6.7
Cc1cccc2[nH]ccc12,7.6
C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,7.7
c1c2c(cc3c1CC3)CC2,8.17
CCCC=NCC,9
CC(C)C#Cc1ccccc1,8.35
CC=CCC(=O)O,9.41
CSCSC,8.4
O=C1Cc2ccccc2C1=O,8.8
C[Si]1(C)C[Si](C)(C)C1,8.56
COc1ccccn1,8.7
C=CC(=O)CC,9.5
FC=CF,10.2
CC1(C)CC1,8.98
c1cc2ccc1CCc1ccc(cc1)CC2,7.8
CCOP(OCC)c1ccccc1,8.2
CCC[O],9.2
N#Cc1ccc2c(c1)C1C=CC2C1,8.7
[CH2]Br,8.61
[CH2]OC,6.94
C#CCCc1ccccc1,8.5
C1CC2CC1C1CCC21,8.8
CC12C=CC(C)(C1)C1(C)CCC21C,8.3
CC1CC(C)CN(C)C1,7.66
OC1CC1,9.1
Nc1ccc[n+]([O-])c1,8.21
CN1CCCN(C)C1=S,7.3
C#CC=CC#C,9.1
C#CC=CC#C,9.07
FC1C2CC3CC(C2)CC1C3,9.46
CC(=O)c1c(C)cc(C)cc1C,8.2
CCC=C(CC)CC,8.48
CC(C)CC1CCCCC1,9.54
C[C](C)c1ccccc1,6.6
COc1cccs1,8.02
CC(C)(C)c1cccs1,8.3
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccccc6c5c4c3c12,7.25
CC(=O)C=Cc1ccccc1C,8.5
C=CC=Cc1ccccc1,8.06
C1=CCCCCC=C1,8.4
CC1=C(Cl)C(=O)c2ccccc2C1=O,9.4
[O-][n+]1cccnc1,8.8
Cc1cc2c3ccccc3ccc2c2ccccc12,7.44
COCCCOC,9.3
c1ccc(N=Nc2ccccc2)cc1,8.2
OC1CCCCCCCCCCC1,9.26
COc1ccc(N=[N])cc1,7.28
c1ccc2c(c1)C1CCc3ccc(c4ccccc34)CCC2CC1,7.3
COCC#N,10.75
CN(C)P1OCCCO1,7.8
C1COCCOCCOCCOCCOCCO1,8.9
S=C1SCCCS1,8.2
CC(C)(C)C#CC(C)(C)C,8.98
C1=C2CCCC(CC1)C2,8
C1CCC2CC3CCCCC3CC2C1,8.8
O=C(O)C1CC1,10.64
C=C(C)C#CCCC,8.62
C=CC#CCCCC,8.83
C=CC=CC=CC,7.96
C=C[CH]CC,7.3
C#Cc1cccc(C#C)c1,8.82
C[Si](C)(C)c1ccc([Si](C)(C)C)s1,7.8
O=C1C(=O)C2C=CC1C2,8.4
C#Cc1cccc2cccc(C#C)c12,7.88
CC(=O)C=Cc1ccc(I)cc1,8.4
CN(C)C[Si](C)(C)C,7.61
Cc1ccc2[nH]cc(CCN)c2c1,7.6
C=CSC,8.2
C[Si](C)(C)c1cccs1,8.1
CO[Si](C)(C)C,9.61
CC=C(C)C(C)=CC,7.8
CCC=NCC,8.7
CNc1cccnc1,8.53
C[Si]1(C)c2ccccc2Oc2ccccc21,8
c1ccc(C[Se]Cc2ccccc2)cc1,7.8
CSc1ccccn1,8.24
C#Cc1ccccc1-c1ccccc1C#C,8.2
C1=CCOOC1,9.5
C1=CC=CCCC=C1,7.9
Fc1nccs1,11.51
O=c1ccc2cocc2cc1,8.65
C=C=CCO,8.74
FC1(F)C2=CC=CC=C1C=CC=C2,8.19
CCCC[O],9.22
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,7.29
Cc1ccc(O)c(N=Nc2cccc(Cl)c2)c1,7.7
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,7.17
C1CCC2CC3CCCCC3CC2C1,9
CCC=CCCCCCC,8.83
Cc1ccccc1N1CCC1,7.1
Cc1cccc(C)c1N1CCC1,7
BrC1CCCCC1Br,9.94
CCC=CCCCCCC,8.83
CCCC=CCCCCC,8.78
CCCC=CCCCCC,8.78
CCCC#CCCC,9.2
CCCCC#CCCCC,9.13
CC#CCCCCCC,9.3
CCC(C)=C(C)CC,8.17
CCC(C)=C(C)CC,8.16
C1[C]2CC3CC1CC(C2)C3,6.21
CCCCC#CCCCCCC,9.09
CC=C(C=O)CC,9.53
CCCCC(CC)=C(C)C,8.1
CCC(CC)=C(C)C,8.17
CCCCCC(C)=C(C)C,8.13
[CH2]C=C,8.13
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,6.96
O=C(C(=O)C(=O)c1ccccc1)C(=O)c1ccccc1,8.5
CC(C)(C)C(=O)C(=O)C(=O)C(=O)C(C)(C)C,8.5
N#CC#CCl,10.8
N#CC#CI,10.1
Cc1ncnc2[nH]cnc12,8.9
C=CC=CC,8.59
CCC=CCCCCC,8.84
CC=CCCCCCCC,8.9
c1ccc(C2CCC2c2ccccc2)cc1,8.2
C[SiH](Cl)Cl,11.47
CCCCCCCCCCN,8.63
CCC#CCCCCC,9.2
CCCC#CCCCC,9.17
C1=CC(c2ccccc2)C1,8.42
COP(OC)N(C)C,8.1
C=CC=CCC,8.51
CCC=CCCCCC,8.84
C[CH]C,7.37
[CH2]C,8.12
CCC=C=O,8.8
CC(C)(C)c1cc(C(C)(C)C)nc(C(C)(C)C)c1,8.2
CC=CCCCCCCC,8.9
C=Cc1c(C)cccc1C,8.1
c1ccccccccccccccccc1,6.6
O=CC1CCCCC1,9.6
C=C1CC(=C)C1,8.7
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c3c12,7.15
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c3c12,7.07
C=N,9.88
S=C1OCCO1,8.6
c1ccc2c(c1)-c1cccc3cccc-2c13,7.9
CCCCc1ccc(C#N)cc1,10.08
CCCCc1cccc(C#N)c1,9.77
CC1(C)C(=O)C(=O)c2ccccc21,8.5
C12C3C1C1C4C1C3C24,8.18
CCC(C)(C)C(C)=O,9.02
C=C1C=CC=CC1,7.9
Oc1ccc(N=Nc2ccccc2)cc1,7.6
CN(C)c1cccc2cccc(N(C)C)c12,6.45
[C]#N,13.6
CC(=O)C=Cc1ccccc1Cl,8.8
CC(=O)C=Cc1ccccc1[N+](=O)[O-],9
COc1cccc[n+]1[O-],8.21
O=C1SCCS1,9.2
CC1(C)Cc2ccccc2C1,8.47
C1=Cc2cccc3cccc1c23,8.12
c1cc2cccc3ssc(c1)c23,7.1
C1CSCCOCO1,8.67
CC#CC(C)C,9.31
CN1C(=O)C(=O)N(C)C1=S,8.6
[O]c1ccccc1,8.56
[C]#C,11.61
CC=C(C)C(C)=CC,8.1
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,7.51
O=C1C(=O)C23CC=CCC12CC=CC3,8.3
O=C1C(=O)C23CC=CCC12CCCC3,8.1
O=C1C(=O)C23CCCCC12CCCC3,8.5
C1CC12CCC21CC1,8.4
[CH2]CC,8.09
C[O],10.72
CC(=O)C=Cc1ccccc1F,8.9
CCC1=CCCC1,8.53
O=S1(=O)CS(=O)(=O)C1,10.6
[CH]1C2CC3CC1CC(C2)C3,6.73
C=C1[CH]C=CC=C1,7.24
F[C-]=[F+],11.44
[CH2]CC=C,8.04
ClN1CCCCC1,8.5
ON=C1CCCCCC1,8.88
c1ccc2c(c1)C1=C2CCCC1,7.7
CSC(C)=S,8.1
c1ccc2c(c1)c1ccccc1c1ccccc21,7.87
C#Cc1ccccc1C#C,8.69
c1ccc2c(c1)ccc1c3ccccc3ccc21,7.6
C1=CCCCCCCCC1,8.8
C=C=C=C=C,8.67
CCCN=C(C)C,8.31
CCCC#CCCCCCCC,9.14
C#CC=CN(C)C,7.7
CC1CCCC(C)C1,9.53
CC(C)(C)S(=O)C(C)(C)C,8
C=C(C)CC(C)C,9.03
CC1(c2ccccc2)CC1,8.57
COc1cccc2ccccc12,7.7
CCCN(CCC)c1ccccc1,6.93
COc1cc(OC)c(OC)cc1CC(C)N,7
CC1(C)CC(O)CC(C)(C)N1[O],7.4
N=C(S)c1ccccc1,8.8
[CH3],9.84
CC(=O)c1c(C(C)C)cc(C(C)C)cc1C(C)C,8
CC1CCC(C)C(C)C1,9.38
CC#Cc1cccc2cccc(C#CC)c12,7.48
N#Cc1cccc(N)c1,8.61
N#C[O],11.76
CC(C)(C)C=CC=CC(C)(C)C,8.23
N#CN=C=O,11.49
CC1(C)CCC(C)(C)OO1,9.2
CC1(C)CC(C)(C)OO1,8.9
Nc1cccc2c(N)cccc12,6.74
C#CCCCCCCCCC,9.9
[O-][N+]1=NC2CCC1C2,9.2
O=C(Cl)c1c(F)c(F)c(F)c(F)c1F,9.8
C=CC(=C)c1ccccc1,8.15
CCCCC#CCCCCC,9.11
C[Si]1(C)CCC1,8.83
CC1C[Si](C)(C)C1,8.67
SC1=NCCC1,8.14
C=C(C)C#CCC,8.66
O=c1sccs1,8.6
CSC(=S)SC,7.9
FC(F)(F)I,10.28
c1cc2cc(c1)CCc1cccc(c1)CC2,7.9
CCN(C)N(C)CC,6.75
C[CH]O,6.7
C=C1[CH]C(C)=CC=C1,7.12
C=C1[CH]C=CC=C1C,7.07
CC=C1[CH]C=CC=C1,6.9
C=C1C=C[C](C)C=C1,6.96
C[CH]CC,7.25
CC(C)(C)c1cc[n+]([O-])cc1,7.8
Fc1cc(F)c(F)c(F)c1,9.55
COc1ccc(CC(C)N)c(OC)c1,7.4
C1SCSCSCSCS1,7.6
C1SCSCSCS1,7.8
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,12.25
Cc1ccc2cc3c(ccc4ccccc43)cc2c1,7.31
Cc1cccc2cc3c(ccc4ccccc43)cc12,7.33
CC#CCCCCCCC,9.3
CCC#CCCCCCC,9.19
CCCC#CCCCCC,9.17
C=CC=CCCC,8.47
CSc1ccccc1SC,7.7
O=[N+]([O-])C1=CC=C=C[CH]1,9.06
[c]1ccccc1,8.32
COC1=CC=C=C[CH]1,8.32
C#CCCCC#C,9.85
C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,7.5
C1COCCOCCNCCOCCOCCN1,8
C1CCC2(CC2)C2(C1)CC2,8.5
CC(C)=CN1CCCC1,6.8
CC(C)(C)N([O])C(C)(C)C,6.77
ClC1(Cl)CC1c1ccccc1,8.7
c1ccc(C2=C(c3ccccc3)C2)cc1,7.45
[CH]1CC1,8.18
CC=C(C)C(C)=CC,8
Cc1c2ccccc2cc2ccc3ccccc3c12,7.27
[O-][n+]1ccncc1,9
CCCCC(C)OO,9.25
Cc1cc2ccc1CCc1ccc(cc1)CC2,7.6
c1cc(-c2ccncn2)ncn1,9
N#CC(C#N)(C#N)C#N,13.94
C=CCCCCCCCCCCC,9.38
CC1CCCC(C)N1C,7.77
C1=CC2(C=C1)CC=CC2,8.2
C1=CC=C2C=CC=CC(=C1)C2,7.7
C#CCC#C,10.1
CC=CN1CC1,8
[CH2],10.4
FC(F)N(F)F,11.5
Cc1cc2ccccc2cc(C)c1=O,8.1
Cc1ccc(O)c(N=Nc2ccc(Cl)cc2)c1,7.7
C[CH]CCC,7.1
[CH2]CCC,8.02
CC=CC(=O)CC,9.32
C1CC2(CC2)C2(C1)CC2,8.3
Cc1ccc2ccc3cc4ccccc4cc3c2c1,7.3
CC(C)(C)P,8.9
CC1(C)C=Cc2ccccc2O1,7.8
O=[N+]([O-])c1cccnc1,10.3
Cc1ccc2c(ccc3ccccc32)c1,7.7
C1CCN2CCCCN(C1)C2,7
C1CCN2CCCN(C1)C2,7
c1ccc2ncncc2c1,9.03
C1CC12CC1(CC1)C2,8.8
O=c1c2cc3ccccc3cc1CCCCC2,8
CCCC(C)C(C)=O,9.2
ClC#CI,9.44
CC1(C)CCCC(C)(C)N1[O],6.73
O=[C]O,8.2
CCC#CCCC,9.26
[CH2]O,7.56
[CH]=O,8.12
c1ccc2c(c1)-c1ccccc1-2,7.58
CC(C)(C)P(Cl)Cl,9
COc1cc(CC(C)N)c(OC)cc1C,6.8
c1ccc2nc3ccccc3cc2c1,7.8
CN1CCCCN1C,6.75
C#CCCCCCCCCCCC,9.9
c1ccc2c(c1)Oc1ccccc1O2,7.6
c1c[se]nn1,8.9
CCC(C=O)C(C)C,9.44
C=CC(C=C)C=C,9.1
CC1(C)CN1,8.94
[CH]=C,8.25
F[CH]F,8.78
[CH2]CCCC,7.85
[CH2]CCCCC,7.92
CCOC(C)CC,9.32
OC1=NCCS1,9.2
O=NCl,10.9
C#CF,11.26
O=C1CC2CCC1CC2,8.8
c1c2cc3cc1CCc1cc(cc(c1)CC3)CC2,7.4
c1ccc2occc2c1,8.36
C1CC2CC1N=N2,8.45
C1=CC2c3ccccc3C1c1ccccc12,7.7
C1CCC2OCCC2C1,9
CCCC=C(C)C,8.62
c1ccn2cccc2c1,7.24
Cc1cc(C)cc(CCl)c1,8.63
C#CC(=CCC)CC,8.54
c1ccc2cccc-2cc1,7.42
C1CC1=C1CC1,8.5
CC1SC(C)SC(C)S1,8
CC(=CC(C)(C)C)CC(C)(C)C,8.35
C12C3C4C1C1C2C3C41,8.56
c1ccc2c(c1)ccc1c2c2ccc3ccccc3c2c2ccc3ccccc3c12,7.19
C1=CC1,9.67
CN(C)C(=S)N(C)C,7.5
C=CC(C)=CC,8.37
C1CC2CCC1C2,9.77
O=C1CC2CC1CC2=O,9.26
C1CC2CCC1CC2,9.47
C1CN2CCN1CC2,7.32
CCC1C=CCCC1,8.83
CC#CCCCCC,9.31
CC#CC#CC,8.92
FN(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,10.4
C1C2CC3CC1CC(C2)C3,9.25
CC[SiH3],10.18
C1CC2CCC(C1)CC2,9
Nc1ccccc1C(=O)c1ccccc1,8.25
C1CC2CCC1CCC1CCC(CC1)CC2,9.1
COc1ccc(C=Cc2ccc(N(C)C)cc2)cc1,6.16
CC(=O)C1CCC=C(C)O1,8.62
CC#CCCCCCCCCCC,9.28
C1CC2CC2C1,9.16
C[Si](C)(C)Br,10
C1CC2CC1C2,9.7
C1CCC2CC2C1,9.03
C1CCC2OC2C1,9.82
c1cc(-c2cncnc2)ncn1,9
c1ccc2cc3c(cc2c1)C3,8.03
C1CC2C3C(C1)C23,8.72
C1CCC1,9.8
C1CSC1,8.61
